Risk,Description,Category,Likelihood,Impact,Mitigation,Signal of Success
Biased Triage Recommendations,The AI may produce less accurate recommendations for certain demographic groups,AI-Technical,M,H,"Train and validate on diverse patient populations and perform bias audits across age, gender and ethnicity groups",Similar model performance across demographic groups
Distribution Shift,Changes in patient populations or disease patterns may reduce model accuracy,AI-Technical,H,H,Continuously monitor model performance and retrain using recent hospital data,Accuracy remains within predefined threshold after deployment
Incorrect Risk Classification,"The AI may assign an incorrect triage priority, potentially delaying care for critically ill patients or over prioritising less urgent cases",AI-Technical,M,H,Require clinician review of all AI recommendations and implement confidence scores,Low rate of clinically significant misclassifications
Poor Generalisation to Caribbean Populations,A model trained using data from a single hospital may not perform reliably across different Caribbean healthcare settings,AI-Technical,H,H,Include Caribbean patient data during development and validation,Consistent performance on local validation datasets
Alert Fatigue,Excessive AI alerts may cause clinicians to ignore important notifications,Operational,M,M,Prioritise only high-risk alerts and allow clinicians to customise notifications,Reduced number of ignored alerts over time
Increased Clinician Workload,Poorly integrated AI systems may increase documentation or review tasks instead of improving efficiency,Operational,M,M,Integrate AI outputs directly into existing workflows and electronic records,Reduced triage completion time without increasing staff burden
System Downtime or Technical Failure,"Software failures, network outages or hardware issues may make the AI system temporarily unavailable",Operational,M,H,Maintain manual triage procedures and establish backup systems,No interruption of patient triage during system failure
Automation Bias,Clinicians may rely too heavily on AI recommendations and overlook their own clinical judgement,Ethical,H,H,Train staff to critically evaluate AI outputs and require human oversight,Clinicians continue to override incorrect recommendations when appropriate
Lack of Transparency/Explainability,"If the AI cannot explain its recommendations, clinicians may struggle to trust or verify its decisions",Ethical,M,M,Provide explanations for AI recommendations and confidence scores,Clinician trust and understanding scores improve
Informed Consent and Patient Trust Concerns,"Patients may be unaware that AI is contributing to clinical decisions, reducing trust and raising ethical concerns",Ethical,M,M,Clearly communicate how AI is used and ensure compliance with policy regulations,Positive patient feedback and low complaint rates
Unequal Access Between Hospitals,Differences in digital infrastructure and resources may prevent some hospitals from benefiting equally from AI-assisted triage,Equity,M,H,Provide infrastructure support and standardised deployment across regions,Comparable adoption and performance across hospitals
Underserved Groups Underrepresented in Training Data,"Limited representation of rural, paediatric, elderly or other vulnerable groups may reduce the model's performance for these populations",Equity,H,H,"Conduct equity audits and include rural, paediatric and vulnerable populations in datasets",Reduced performance and gaps between patient groups
